ID продукта,Бренд,Название,Описание,Цена,Тип продукта,Для кого,Тип кожи,Назначение,Объём,Способ применения,Состав,Описание бренда,Дополнительная информация,Подходит для акне,Подходит для комедонов,Подходит для розацеа
19000039325,ART & FACT,"ART & FACT Salicylic Acid 2% + Lactic Acid 0,5%","Анти-акне пэды с салициловой кислотой 2% и молочной кислотой 0,5% для проблемной кожи. Салициловая и молочная кислоты в составе пэдов способствуют сужению расширенных пор, нормализуют выделение себума, выравнивают микрорельеф, осветляют пигментные пятна и выравнивают тон кожи. Пэды ускоряют процесс регенерации и восстановления эпидермиса, уменьшают воспаления и проявления акне. ",813,пэды для лица,женский,для проблемной кожи,"против несовершенств, выравнивание тона, для сужения пор",,"Протрите одним пэдом кожу лица и шеи после тщательного очищения. Особенно стоит уделить внимание Т-зоне, более интенсивно воздействуя на нее. Использовать 2-3 раза в неделю на ночь курсом 2,5-4 месяца. После применения использовать свой обычный уход. Возможно покалывание из-за большой концентрации кислот. При выходе на солнце использовать солнцезащитный крем (SPF от 35).","Water (Aqua), Glycerin, Salicylic Acid, Ammonium Lauryl Sulfate, Lactic Acid,  Sodium Hyaluronate, Allаntoin, Ammonium Acryloyldimethyltaurate/Vp Copolymer, Menthol, Citric Acid, Disodium EDTA, Benzyl Alcohol, Ethylhexylglycerin, Tocopherol.",,страна происхождения<br>Россия<br><br>,True,False,True
19000180206,d'Alba,D'ALBA Slim Fit Ceramic Gua sha,"Керамический массажёр гуаша в анатомической форме - идеальное дополнение к уходу за кожей лица и тела. Специально разработанный дизайн имеет поверхности с разнообразным рельефом для эффективного массажа лица, линии подбородка, шеи, рук и ладоней, ног, и даже зоны роста волос. Продукт изготовлен вручную мастерами керамики из высококачественного материала, в соответствии с традициями и принципами массажа гуаша.
",6500,гуаша,унисекс,,,,"Перед началом нанесите на нужный участок кожи массажное масло или крем. Выполните массаж аккуратными надавливающими движениями.
",Керамика.,,"страна происхождения<br>Республика Корея<br><br>изготовитель:<br>""d’Alba Global Co., Ltd."", адрес: 12F, 78, Mapo-daero, Mapo-gu, Seoul, Республика Корея<br><br>",False,False,False
19000002015,Clinique,CLINIQUE Moisture Surge 100h,"Ваш любимый увлажняющий крем-гель стал еще эффективнее. Средство глубоко увлажняет и насыщает кожу влагой на 100 часов. Кожа выглядит более упругой и сияющей даже после умывания. Технология Auto-Replenishing активирует внутренние ресурсы кожи, обеспечивающие постоянное увлажнение.",2040,гель для лица,женский,для всех типов кожи,"увлажнение, питание",15 мл,"Утром и вечером наносите средство на чистую кожу. Используйте как самостоятельное средство или в качестве основы для макияжа, наносите на сухие участки или применяйте в качестве пятиминутной маски.",,"Бренд Clinique был создан в 1968 году всемирно известным дерматологом Норманом Орентрайхом и является одним из ведущих производителей средств ухода за кожей, декоративной косметики и парфюмерии класса люкс. Все средства разработаны на основе клинических исследований и многолетнего опыта ведущих дерматологов с учетом индивидуальных потребностей кожи, проверены на аллергию и не содержат отдушек.
<br><br>
Легендарные средства Clinique заслуженно завоевали сердца российских потребителей. Один из бестселлеров бренда, интенсивно увлажняющий гель-крем на 100 часов с биоферментом алоэ и гиалуроновой кислотой Moisture Surge 100H Auto-replenishing Hydrator, мгновенно и надолго защищает кожу от обезвоживания, обеспечивая увлажнение десяти слоев кожи.
<br><br>
Сегодня Clinique в тесном партнерстве с нью-йоркской медицинской школой Icahn School of Medicine at Mount Sinai создает совместный центр Healthy Skin Dermatology Center с целью проведения совместных дерматологических исследований аллергических заболеваний.
",страна происхождения<br>Великобритания<br><br>,False,False,False
19000012306,Dr. Ceuracle ,DR. CEURACLE   Royal Vita Propolis,"Интенсивная питательная тканевая маска для антивозрастного и восстанавливающего ухода поможет вернуть коже здоровое сияние, глубоко напитает и насытит антиоксидантами. <br>
Тканевая маска на основе прополиса, витаминов и маточного молочка ревитализирует тусклую кожу лица, возвращая ей здоровое сияние. <br>
Стимулирует естественные процессы восстановления, помогает в борьбе с гиперпигментацией, предотвращает развитие признаков старения кожи.<br>
Маска выполнена из натуральной целлюлозы, что обеспечивает идеальное соприкосновение с кожей для максимальной доставки активных ингредиентов.
",270,маски для лица,унисекс,для всех типов кожи,очищение,,Нанесите маску на очищенную кожу и оставьте ее на 10-20 минут. Распределите остатки маски похлопывающими движениями до полного впитывания.,"Water, Dipropylene Glycol, Niacinamide, PEG/PPG-17/6 Copolymer, Bis-PEG-18 Methyl Ether Dimethyl Silane, Butylene Glycol, PEG-60 Hydrogenated Castor Oil, Paeonia Suffruticosa Root Extract, Centella Asiatica Extract, Carbomer, 1,2-Hexanediol, Ammonium Acryloyldimethyltaurate/VP Copolymer, Dimethicone, Chamomilla Recutita (Matricaria) Flower Extract, Glyceryl Caprylate, Propolis Extract, Potassium Hydroxide, Cellulose Gum, Adenosine, Ethylhexylglycerin, Sodium Polyacrylate, Hippophae Rhamnoides Fruit Extract, Dextrin, Gardenia Florida Fruit Extract, Royal Jelly Extract, Theobroma Cacao (Cocoa) Extract, Magnesium Ascorbyl Phosphate, BHT, Anthemis Nobilis Flower Extract, Oenothera Biennis (Evening Primrose) Flower Extract, Calendula Officinalis Flower Extract, Disodium EDTA, Fragrance.","Dr.Ceuracle (Южная Корея)<br>
<br>
Dr.Ceuracle – пионеры космецевтики в Южной Корее. Уход, рассчитанный на самые актуальные потребности кожи, благодаря широкому ассортименту линий. Средства бренда направлены на устранение недостатков и поддержание красоты кожи, за счет умных формул, качественных и современных составов и передовых технологий. <br>
В ассортименте Dr.Ceuracle можно найти средства для любого типа и состояния кожи, среди которых нашумевшая Веганская крем-эссенция с Комбучей, новинка, ставшая хитом – Увлажняющий очищающий бальзам-пенка, а также Гидрофильное масло с пробиотиками, входящее в список лучших гидрофильных масел в подборках beauty-блогеров из разных стран мира. ",страна происхождения<br>Республика Корея<br><br>,False,False,False
19000238575,Oganacell ,OGANACELL  DERX,"Двойная функциональная ампула помогает сделать кожу упругой и чистой, как прозрачная жемчужина. В состав входит DERX™ 20000 ppm - запатентованный ингредиент Oganacell премиум класса сочетает в себе 5 основных аминокислот и 3 пептида (пептиды меди, аргилерин, нонапептид-1). <br><br>

Обеспечивает кожу энергией пептидов, которые питают кожу, придают ей упругий и здоровый вид. Нежирная, легкая формула, которая быстро впитывается, обеспечивая длительное увлажнение и питание.",12590,сыворотка для лица,унисекс,для всех типов кожи,"уход, увлажнение, питание",30 мл,После умывания и тонизирования нанесите на кожу лица и шеи легкими похлопывающими движениями.,"Water, Glycerin, Niacinamide, Propylene Glycol, 1,2-Hexanediol, Pullulan, Trehalose, Polyacrylate-13, Polyisobutene, Ectoin, Xanthan Gum, Polyacrylate Crosspolymer-6, Ethylhexylglycerin, Maltodextrin, Adenosine, Sodium Hyaluronate, Polysorbate 20, Sorbitan Isostearate, Aloe Barbadensis Leaf Extract, Madecassoside, Dipropylene Glycol, Hydrolyzed Hyaluronic Acid, Glycine, t-Butyl Alcohol, Asiaticoside, Copper Tripeptide-1, Alanine, Centella Asiatica Leaf Extract, Acetyl Hexapeptide-8, Arginine, Glutamic Acid, Nonapeptide-1, Serine, Sodium Acetylated Hyaluronate, Algae Extract, Lecithin, Centella Asiatica Extract",,"страна происхождения<br>Россия<br><br>изготовитель:<br>Cellicon Lab, Inc. #304, Bio Venture Town, 1662, Yusoeng-daero, Yusoeng-gu, Daejeon, 34054<br><br>",False,False,False
19000116644,OKOLO,OKOLO Silky Clay Mask REFILL,"Шелковистая маска из глины впитывает загрязнения не только с поверхности кожи, но и глубоко из пор. <br>
Чтобы кожа не осталась без влаги, мы добавили в состав масло ши, богатое питательными витаминами и олеиновой кислотой. А нежное отшелушивание обеспечивают микрогранулы. <br>
Всего через 10 минут кожа становится чистой, свежей и приятной на ощупь.",1750,маски для лица,унисекс,"для жирной кожи, для комбинированной кожи, для проблемной кожи","очищение, увлажнение, для сужения пор, против черных точек",50 мл,"Мягкими массирующими движениями нанесите маску на чистую сухую кожу. <br>
Оставьте на 10-15 минут. Смойте. <br><br>

Используйте 2-3 раза в неделю.","Aqua (water), kaolin, ethylhexyl stearate, glycerin, cetearyl alcohol, caprylic/capric triglyceride, glyceryl stearate, parfum (fragrance), xanthan gum, sodium stearoyl glutamate, sodium polyacryloyldimethyl taurate, ethylhexylglycerin, butyrospermum parkii (shea) butter, hydrogenated polydecene, lactic acid, sodium phytate, caprylyl/capryl glucoside, hydroxyacetophenone, phenoxyethanol.",,страна происхождения<br>Италия<br><br>,False,True,False
99680100017,Elizavecca,ELIZAVECCA Witch Piggy Hell-Pore Control Hyaluronic Acid 97%,"Насыщенная сыворотка для лица Elizavecca с гиалуроновой кислотой интенсивно увлажняет кожу и уменьшает сухость. Средство помогает удерживать влагу и делает кожу мягкой, сияющей, более гладкой и упругой. Формула также направлена на уменьшение расширенных пор, выравнивание тона и действие против морщин.",1587,сыворотка для лица,женский,для всех типов кожи,"против несовершенств, выравнивание тона, для сужения пор, против признаков старения",50 мл,"нанесите 2-3 капли сыворотки на кожу лица и шеи и равномерно распределите средство. Слегка постучите кончиками пальцев по коже, чтобы сыворотка быстрее впиталась. Не используйте на коже вокруг глаз. ","Water, 1,2-Hexanediol, Niacinamide, Sodium Hyaluronate(9,700ppm), Propylene Glycol, PEG-60 Hydrogenated Castor Oil, Carbomer, Arginine, Adenosine, Allantoin, Fragrance",,"страна происхождения<br>Республика Корея<br><br>изготовитель:<br>""MIZ TRADE CO., LTD"", адрес: (3 Floor, Gujeong bldg., Dogok-dong), 24, Nambusunhwan-ro 351-gil , Gangnam-gu, Seoul, Республика Корея<br><br>",False,False,False
19000326573,belif,BELIF Super knights - pore firming vegan pack cleanser,"Мультифункциональный продукт belif объединяет свойства маски для лица и очищающего средства.<br>
Формула с каолином и PHA-кислотами помогает удалить загрязнения, макияж, омертвевшие клетки и излишки себума, а также визуально уменьшить расширенные поры и сделать кожу более чистой и гладкой. <br>
Это мягкое средство – быстрое и удобное решение для ухода за кожей и её очищения. <br>
Подходит для всех типов кожи, включая чувствительную. ",2850,маски для лица,унисекс,для всех типов кожи,"очищение, снятие макияжа, для сужения пор, отшелушивание",150 мл,"Возьмите необходимое количество средства и равномерно нанесите на сухую кожу лица. <br>
Оставьте продукт на 1 минуту, затем аккуратно смойте теплой водой, мягко массируя кожу круговыми движениями. <br>
Можно применять двумя способами: как смываемую маску для лица или как средство для ежедневного очищения, которое можно вспенить в ладонях, распределить по лицу, а затем смыть водой. 
","Water, kaolin, butylene glycol, glycerin, hydrated silica, zea mays (corn) starch, coco-glucoside, titanium dioxide(ci 77891), sodium methyl cocoyl taurate, coco-betaine, xanthan gum, hydroxypropyl starch phosphate, caprylyl glycol, panthenol, chondrus crispus extract, citric acid, citrus aurantium dulcis (orange) peel oil, tetrasodium edta, citrus aurantifolia (lime) oil, iron oxides(ci 77491), pelargonium graveolens flower oil, rosmarinus officinalis (rosemary) leaf oil, melissa officinalis flower/leaf/stem water, rosmarinus officinalis (rosemary) leaf water, 1,2-hexanediol, eucalyptus globulus leaf extract, gluconolactone, salicylic acid, mentha rotundifolia leaf extract, rosa canina fruit extract, thymus vulgaris (thyme) leaf extract, acetyl hexapeptide-8, limonene.","Южнокорейский бренд belif предлагает косметику для ухода за кожей лица, созданную благодаря синтезу традиций и инноваций. В ассортименте марки – эффективные средства с натуральными ингредиентами, потрясающими текстурами и чистыми, понятными формулами, вызывающими доверие. Эксклюзивные формулы belif решают различные задачи, от интенсивного увлажнения кожи до борьбы с признаками старения. <br> <br>

Ключевая особенность бренда – использование натуральных растительных экстрактов, лекарственных растений и настоящих трав, ценные свойства которых в 19 веке активно изучал известный шотландский травник Дункан Напьер. Он также придумал уникальный способ обработки растений и открыл в Эдинбурге первый магазин Napiers, специализирующийся на травах. Сегодня бренд belif наследует философию, исторические рецепты и традиционные методы производства Napiers, чтобы создавать эффективные продукты на основе чистых природных ингредиентов. 
","страна происхождения<br>Республика Корея<br><br>изготовитель:<br>""LG H&H Co., Ltd."", адрес: 58 Saemunan-ro, Jongno-gu, Seoul, Республика Корея<br><br>",False,True,True
19000159519,FOR ME by gold apple,FOR ME BY GOLD APPLE Double-sided steel facial roller,"Один из наших фаворитов для домашнего ухода – массажный роллер FOR ME. <br>
Пользуемся им для борьбы с отеками и возрастными изменениями, а также для укрепления тонуса кожи. <br>
Массаж – тот самый утренний или вечерний ритуал, который помогает вернуть баланс. ",1390,роликовый массажер,женский,,,,"Перед тем, как приступить к массажу, снимите макияж и умойте лицо. <br>
Начинайте массаж с нижней трети лица и двигайтесь вверх по массажным линиям. <br>
Для лучшего скольжения массажера рекомендуем использовать вашу любимую сыворотку, легкий крем или масло для лица. <br>
Также можно использовать поверх тканевой маски.","Роллер – нержавеющая сталь, <br>
ручка – цинковый сплав.","FOR ME — бренд косметики, созданный командой Золотого Яблока вокруг одной главной идеи: идеи любви к себе. <br><br>

В ежедневной суете мы часто забываем об этом. Забываем прислушиваться к своим желаниям, проводить время с любимыми или оставаться наедине с собой, петь в душе, будто перед нами стадион, или танцевать, будто никто не видит. Наслаждаться собой и моментом. <br><br>

FOR ME — это напоминание себе о себе и тебе о тебе. <br><br>

Этот запуск — итог более 20 лет опыта на бьюти-рынке и полутора лет активной подготовки. FOR ME уделяет большое внимание качеству и красоте: от визуального оформления и тактильных ощущений до эффективности и лаконичности составов. <br><br>
FOR ME — все, что нужно для создания идеальной рутины для красоты и заботы о себе: от ароматных средств для тела до кистей для макияжа. В бренде представлены коллекции уходовых средств для лица, волос и тела, аксессуары, кисти для макияжа, ароматы для дома и многое другое — и ассортимент постоянно расширяется!
","страна происхождения<br>Китай (Китайская Народная Республика)<br><br>изготовитель:<br>Shenzhen Export Trending Solutions Company Limited, 7A734 block ab new energy building, 2239 Nanhai avenue, Nanshan district, Shenzhen, China.<br><br>",False,False,False
19000239097,PAYOT,PAYOT Infusion hydratante repulpante,"Средство для лица PAYOT с натуральными лепестками василька интенсивно увлажняет кожу и повышает её гладкость, подготавливая кожу к последующим этапам ухода. <br>
Мягкая формула включает гиалуроновую кислоту и компоненты, полученные из водорослей, благодаря которым продукт делает кожу более упругой, подтянутой и сияющей, а также помогает устранить сухость и мгновенно дарит приятное ощущение свежести. <br>
В составе – 98% ингредиентов натурального происхождения. ",3488,лосьон для лица,унисекс,для всех типов кожи,увлажнение,125 мл,"Наносите утром и вечером на лицо и область вокруг глаз перед применением крема.
","Aqua (water), glycerin, butylene glycol, phenoxyethanol, ppg-26-buteth-26, parfum (fragrance), peg-40 hydrogenated castor oil, acrylates/c10-30 alkyl acrylate crosspolymer, propylene glycol, sodium hyaluronate, centaurea cyanus flower, trehalose, urea, sodium hydroxide, pentylene glycol, serine, ficus carica (fig) fruit extract, sodium carrageenan, algin, caprylyl glycol, , citrullus lanatus (watermelon) fruit extract, disodium phosphate, glyceryl polyacrylate, pullulan, potassium phosphate, ci 42090 (blue 1), maris sal (sea salt), ci 14700 (red 4).","<p>История бренда PAYOT началась в 1920 году, когда косметолог и врач Надя Пайо предложила новый взгляд на поддержание женской красоты. Основательницу марки вдохновили наблюдения за подругой, балериной Анной Павловой, тело которой оставалось молодым и красивым благодаря тренировкам. Надя решила разработать «физическую культуру» и для лица: она использовала знания, полученные в медицинской сфере, и создала уникальный массаж «42 движения». Следующим шагом стал выпуск линии эффективных, но мягких средств для кожи и основание бренда PAYOT. <p>
Гимнастика для лица, придуманная Надей Пайо, по сей день остается важным элементом профессиональных процедур PAYOT, а средства марки для разных типов кожи становятся всё более эффективными и инновационными. Продукты для лица и тела помогают добиться заметного результата, не вызывая раздражения. Уже почти 100 лет косметика PAYOT гарантирует эффективность, безопасность и удовольствие от ухода за кожей. ",страна происхождения<br>Франция<br><br>,False,False,False
19000229327,PFC CosmeticS,PFC COSMETICS Balance Stick,"Локальное средство для лица помогает справиться с несовершенствами, глубоко проникая в кожу, освежает и успокаивает. Салициловая кислота отшелушивает и регулирует выработку себума. <br><br>

Гликолевая кислота действует как эксфолиант, сохраняя увлажненность кожи. Компонент Dermasooth™ помогает уменьшить раздражение кожи и ускорить восстановление барьерной функции. <br><br>

При регулярном использовании кожа становится более здоровой на вид и гладкой. Благодаря компактному и удобному формату средство можно брать с собой куда угодно. ",1354,корректор несовершенств,унисекс,для проблемной кожи,"против несовершенств, успокаивающее, отшелушивание",10 мл,"Используйте 1-3 раза в день или 1 раз в день на ночь. <br>
Нанесите средство аппликатором на необходимый участок кожи и дайте впитаться. м
Избегайте попадания в глаза.","Aqua, alcohol denat, pentylene glycol, hamamelis virginiana leafwater, glycerin, aloe barbadensis leaf juice, salicylic acid, propanediol, azelaic acid, glycyrrhetinic acid, phenoxyethanol, hydroxypropyl guar, glycolic acid, parfum, sodium hyaluronate, ethylhexylglycerin, xanthan gum, e n t e r o m o r p h a compressa extract, cucumis sativus fruit extract, sodium benzoate, silybum marianum fruit extract, ocimum sanctum leaf extract, sodium hydroxide, potassium sorbate, citric acid.",,"страна происхождения<br>Испания<br><br>изготовитель:<br>""DESARROLLO BIOTECNOLÓGICO, S.L."", адрес: Polígono Industrial Gutenberg, CL Oslo, 3, 46185 La Pobla de Vallbona (VALENCIA), Испания<br><br>",False,True,True
19000136371,Ph.Hubby,PH.HUBBY Haut 5.7 FOAM CLEANSER,"Увлажняющая пенка для умывания лица, которая поддерживает здоровый pH кожи. Нежная текстура очищает от излишков себума и освежает. Комплекс растительных компонентов и гиалуроновая кислота успокаивают и увлажняют. Лимонная вода тонизирует кожу и убирает излишки себума. ",1092,пенка для лица,женский,для всех типов кожи,очищение,150 мл,"Нанесите пенку на влажную кожу лица и распределите легкими массирующими движениями, а затем смойте теплой водой. ","WATER, GLYCERIN, SODIUM COCOYL ISETHIONATE, COCONUT ACID, SODIUM METHYL COCOYL TAURATE, SODIUM ISETHIONATE, POTASSIUM COCOYL GLYCINATE, CITRUS LIMON (LEMON) FRUIT WATER, COCO-BETAINE, POLYQUATERNIUM-67, POTASSIUM COCOATE, SODIUM CHLORIDE, CITRIC ACID, POTASSIUM BENZOATE, BETAINE, PANTHENOL, ROSA DAMASCENA FLOWER WATER, MUSA SAPIENTUM (BANANA) FLOWER EXTRACT, BUTYLENE GLYCOL, PYRUS COMMUNIS (PEAR) FRUIT EXTRACT, DISODIUM EDTA, SODIUM ACETATE, CUCUMIS MELO (MELON) FRUIT EXTRACT, HEDERA HELIX (IVY) LEAF/STEM EXTRACT, PRUNUS DOMESTICA FRUIT EXTRACT, PENTYLENE GLYCOL, 1,2-HEXANEDIOL, CAPRYLYL GLYCOL, ISOPROPYL ALCOHOL, SODIUM HYALURONATE, CHAMOMILLA RECUTITA (MATRICARIA) FLOWER EXTRACT, LAVANDULA ANGUSTIFOLIA (LAVENDER) FLOWER EXTRACT, MELISSA OFFICINALIS LEAF EXTRACT, ORIGANUM MAJORANA LEAF EXTRACT, ROSMARINUS OFFICINALIS (ROSEMARY) LEAF EXTRACT, SALVIA OFFICINALIS (SAGE) LEAF EXTRACT, THYMUS VULGARIS (THYME) LEAF EXTRACT, ETHYLHEXYLGLYCERIN",,"страна происхождения<br>Республика Корея<br><br>изготовитель:<br>""Ph. Hubby Co., Ltd."", адрес: С-721, 128, Beobwon-ro, Songpa-gu, Seoul, Республика Корея<br><br>",False,False,False
19760306246,DARLING*,DARLING* Face Shot ULTRA-THIN ANTI-WRINKLE MASK with cooling effect,"Чтобы поверить в то, что морщины могут заметно разгладиться и без визита к косметологу. Эта маска- что-то вроде инъекции,
но неинвазивной. Основу легкого охлаждающего геля составляет Аденозин, который признан омолаживающим веществом No1. Усиленный природным увлажняющим компонентом Бетаином и Антиоксидантом Гидроксиацетофеноном, гель превращается в настоящий ""крем Азазелло"": мощно увлажняет, успокаивает чувствительную кожу, выравнивает рельеф, запускает обменные процессы и стимулирует выработку Эластина и Коллагена.
Хотите испробовать эффект инъекций без всяких уколов?",385,маски для лица,унисекс,для всех типов кожи,"против признаков старения, увлажнение, выравнивание тона",,"Достать маску из упаковки, снять с нее оба защитных слоя, удобно расположить на лице (предварительно очистив его). Расслабиться на 20-30 минут. И почувствовать, как кожа успокаивается
и разглаживается буквально на глазах. Смывать такой состав было бы преступно: сняв маску, аккуратно вбейте остатки геля подушечками пальцев до полного впитывания. Подходит для всех типов кожи.","Water, Butylene Glycol , Glycerin, Glycereth-26, Betaine, Hydroxyacetophenone, Carbomer, Chlorphenesin, Xanthan Gum, Ceratonia Siliqua (Carob) Gum, Glucomannan, PEG-60 Hydrogenated Castor Oil, Potassium Hydroxide, Adenosine, Ethylhexylglycerin, Dextrin, Fragrance(Parfum), Tocopherol, Agar.","DARLING* —  международный бренд косметики on-the-go, рождённый в цифровой среде и объединивший команду креативных людей со всего мира. DARLING* меняет привычное понимание красоты и создает продукты, которые разговаривают со своим потребителем – очаровывают, удивляют, вызывают восторг, при этом очень удобны и эффективны.<br><br>

Миссия DARLING* – превратить ежедневную бьюти-рутину в увлекательную игру!
DARLING* – это красота сегодня, открытая, настоящая, без фильтров. Это бренд, который говорит с тобой на одном языке, продукты, которые впишутся в твой сумасшедший лайфстайл и поддержат твою страсть к экспериментам, это бьюти-рутина по твоим правилам, чтобы каждый твой день был наполнен оптимизмом.
",страна происхождения<br>Республика Корея<br><br>,False,False,True
19000153652,Yadah,YADAH Skin fit Dark corrector,"Корректирующий крем YADAH для тусклой и уставшей кожи улучшает и выравнивает тон лица благодаря розовому пигменту. BB-капсулы тают при нанесении и дарят естественное, стойкое покрытие с сияющим финишем. <br>
Формула усилена гиалуроновой кислотой и экстрактом сакуры, которые увлажняют, наполняют жизненной энергией и поддерживают здоровый вид кожи. <br>
Высокая степень защиты SPF 50+ PA++++ нейтрализует воздействие UVA- и UVB-лучей. ",2619,крем для лица,унисекс,для всех типов кожи,"против несовершенств, выравнивание тона, увлажнение",,"После привычного ухода за кожей и перед макияжем нанесите на лицо немного крема и равномерно распределите по всей коже или на зоны, склонные к покраснению. По желанию нанесите тональную основу.
","Water, Zinc Oxide (Ci 77947), Titanium Dioxide (Ci 77891), Ethylhexyl Palmitate, Propylheptyl Caprylate, Glycerin, Polyglyceryl-3 Polyricinoleate, Isoamyl Laurate, Trimethylsiloxysilicate, Butylene Glycol Dicaprylate/Dicaprate, Dibutyl Adipate, Octyldodecanol, Polyglyceryl-4 Isostearate, Pentylene Glycol, 1,2-Hexanediol, Isododecane, Polymethylsilsesquioxane, Sorbitan Olivate, Synthetic Fluorphlogopite, Silica, Disteardimonium Hectorite, Iron Oxides (Ci 77491), Magnesium Sulfate, Tribehenin, Triethoxycaprylylsilane, Hydrogenated Coco-Glycerides, Iron Oxides (Ci 77492), Glyceryl Caprylate, Vinyl Dimethicone/Methicone Silsesquioxane Crosspolymer, Butylene Glycol, Ethylcellulose, Dimethicone, Fragrance(Parfum), Iron Oxides (Ci 77499), Opuntia Ficus-Indica Extract, Polyvinyl Alcohol, Trisodium Ethylenediamine Disuccinate, Aluminum Hydroxide, Propanediol, Tocopherol, Beta-Glucan, Centella Asiatica Extract, Betula Platyphylla Japonica Juice, Benzyl Glycol, Hydrolyzed Glycosaminoglycans, Sodium Hyaluronate, Sodium Hyaluronate Crosspolymer, Hydrolyzed Hyaluronic Acid, Ethylhexylglycerin, Prunus Serrulata Flower Extract, Terminalia Ferdinandiana Fruit Extract, Hydroxypropyltrimonium Hyaluronate, Caprylyl Glycol, Hyaluronic Acid, Sodium Acetylated Hyaluronate.","<p>YADAH – это косметический бренд из Южной Кореи, который предлагает гипоаллергенные средства для ухода за кожей и макияжа. Натуральность и безопасность продуктов в YADAH стоят на первом месте, поэтому в основе мягких, но эффективных формул – органические растительные ингредиенты, традиционные корейские травы, корни растений, фрукты, а также эфирные масла. <p> Бренд появился в 2009 году, когда его создательница Кан Юн-Ми совместно с лабораторией Сеульского университета разработала пенку для чувствительной кожи, а также эмульсию и тонер. Её вдохновили наблюдения за собственной дочерью-подростком, которая начала заботиться о внешности и подбирать средства для кожи. <p>  Символом бренда стала остроумная и позитивная девочка, которая с умом подходит к уходу за собой и часто появляется в компании забавного друга – пришельца Yom Yom. За оригинальным и весёлым дизайном продуктов стоит серьёзный подход к выбору ингредиентов и производству средств, помогающих сделать кожу ухоженной и чистой. <p>","страна происхождения<br>Республика Корея<br><br>изготовитель:<br>""YADAH CO.,LTD."", адрес: 606, 27, Seongsui-ro 7-gil, Seongdong-gu, Seoul, Республика Корея<br><br>",False,False,False
19000009464,Christina,CHRISTINA Comodex Soothe & Regulate Mask,"Абсорбирует избытки кожного сала, регулирует работу сальных желез, оказывает поросуживающий эффект. Успокаивает и уменьшает гиперемию, обладает моментальным осветляющим действием. ",3190,маски для лица,унисекс,для комбинированной кожи,очищение,75 мл,"Нанести 3-4 мл препарата на все лицо (избегая орбитальную зону), оставить на 15 минут, затем смыть теплой водой. Использовать 2 раза в неделю. ","Deionized water (Aqua), Kaolin, Cetyl Alcohol, Glyceryl Stearate, Zinc Oxide, SD Alcohol 40, Glycerin, Titanium Dioxide, Ethylhexyl Palmitate, PEG-40 Stearate, Polysorbate 80, Sulfur, Camellia Sinensis Leaf Extract, Centella Asiatica Extract, Chamomilla Recutita (Matricaria) Flower, Glycyrrhiza Glabra (Licorice) Root Extract, Propanediol, Rosmarinus Officinalis (Rosemary) Leaf Extract, Scutellaria Baicalensis Root Extract, Polygonum Cuspidatum Root Extract, Ethylhexylglycerin, Phenoxyethanol, Sodium Myristyl Sulfate, PVP, Camphor, Allantoin, Biotin, Butylene Glycol, Fomes Officinalis (MUSHROOM) Extract, Hydrolyzed Yeast Protein, Niacinamide, Panthenol, Pyridoxine, Threonine, Salicylic Acid, Hydroxypropyl Cyclodextrin, Sorbitan Tristearate, Rosin, Chlorphenesin, Caprylyl Glycol, Tasmannia Lanceolata Fruit Extract.",,страна происхождения<br>Израиль<br><br>,False,False,False
